question_text,question_img_url,difficulty_level,explanation,explanation_img_url,chapter_id,question_choice_1,question_choice_2,question_choice_3,question_choice_4,question_choice_1_image_url,question_choice_2_image_url,question_choice_3_image_url,question_choice_4_image_url,correct_choice,easy,1
If $y=1+2 x+4 x^{2}+8 x^{3}+\ldots \ldots \ldots \infty$ then $x=?$,,moderate,"Instead of using $\mathrm{GP}$, use algebra
(a) $y+1=1+2 x+4 x^{2}+8 x^{3}+\ldots . .0+1=2+2 x+4 x^{2}+8 x^{3}+\ldots . . \infty$ not
(b) $y-1=1+2 x+4 x^{2}+8 x^{3}+\ldots . .0-1=2 x+4 x^{2}+8 x^{3}+\ldots . . \infty \quad$ not
(c) $\frac{(y-1)}{y}=\frac{2 x+4 x^{2}+8 x^{3}+\ldots \infty}{1+2 x+4 x^{2}+8 x^{3}+\ldots \infty} \quad$ not
(d) $\frac{y-1}{2 y}=\frac{2 x+4 x^{2}+8 x^{3}+\ldots \infty}{2+4 x+8 x^{2}+\ldots \ldots \infty}=x$ satisfy",,89,$y+1$,$y-1$,$\frac{y-1}{y}$,$\frac{y-1}{2 y}$,,,,,4,,
The H.M and A.M between two numbers are 4 and $\frac{9}{2}$ respectively the numbers are,,moderate,"\text { Reverse solve, } H M=\frac{2 a b}{a+b}=\frac{2(6)(3)}{6+3}=\frac{36}{9}=4",,89,"5,4","7,2","6,3","12, -3",,,,,3,,
$2+(2+5)+(2+5+8)+\ldots \ldots .$ to $n$ -terms $=?$,,difficult,"$T_{k}=2+5+8+\ldots \ldots+3 k-1=\frac{k}{2}(2+3 k-1)=\frac{3}{2} k^{2}+\frac{1}{2} k$
$S_{n}=\sum_{k=1}^{n}\left(\frac{3}{2} k^{2}+\frac{1}{2} k\right)=\left(\frac{3}{2} \times \frac{n(n+1)(n+2)}{6}+\frac{1}{2} \times \frac{n(n+1)}{2}\right)=\frac{n(n+1)(n+3)}{4}$",,89,$\frac{n(n+1)}{2}$,$\frac{n(n+1)^{2}}{2}$,$\frac{n^{2}(n+1)}{2}$,None,,,,,4,,
"A clock strikes twice when its hour hand is at one, four time when it is at 2 and so on. How many times does the clock strike in 12 hours?",,moderate,$S_{12}=2+4+6+\ldots+24=\frac{12}{2}(2+24)=6(26)=156$,,89,78,128,156,96,,,,,3,,
$\sum_{k=1}^{5}\left(k^{2}-(k-1)^{2}\right)=?$,,moderate,simplify $\sum_{k=1}^{5}\left(k^{2}-\left(k^{2}-2 k+1\right)\right)=\sum_{k=1}^{5}(2 k-1)=\frac{2 * 5(4)}{2}-5=25$,,89,5,25,125,625,,,,,2,,
"If $t, 2 t+2,3 t+3$ are in G.P. then the fourth term is;",,moderate,"for this to be in $G P, \frac{3 t+3}{2 t+2}=\frac{2 t+2}{t}=\frac{3}{2} \rightarrow 4 t+4=3 t \rightarrow t=-4, r=\frac{3}{2}$
\[
a_{4}=a_{1} r^{4-1}=t r^{3}=(-4)\left(\frac{3}{2}\right)^{3}=-\frac{27}{2}
\]",,89,27,-27,$\frac{27}{2}$,$-\frac{27}{2}$,,,,,4,,
$\frac{1}{2}+\frac{1}{3}+\frac{1}{6}+\cdots$ to $9-$ terms $=?$,,moderate,"$a_{1}=\frac{1}{2}, d=\frac{1}{3}-\frac{1}{2}=-\frac{1}{6} \quad S_{9}=\frac{n}{2}\left(2 a_{1}+(n-1) d\right)=\frac{2}{2}\left(1-8\left(\frac{1}{6}\right)\right)=-\frac{3}{2}$",,89,$-\frac{5}{6}$,$-\frac{1}{2}$,1,$-\frac{3}{2}$,,,,,4,,
If $2+5+8+11+\cdots+a_{n}=60100$ then $n=?$,,moderate,"(a) $S_{n}=\frac{n}{2}\left\{2 a_{1}+(n-1) d\right\}=50(4+99 * 3)=50(301)=15050$
(b) $S_{n}=\frac{n}{2}\left\{2 a_{1}+(n-1) d\right\}=100(4+199 * 3)=100(601)=60100$",,89,100,200,150,250,,,,,2,,
"Which term of the sequence $3, \sqrt{3}, 1, \cdots$ is $\frac{1}{243} ?$",,easy,"$\mathrm{GP}, a_{1}=3, r=3^{-1 / 2}, \quad a_{n}=a_{1} r^{n} \rightarrow 3^{-5 n-5}=\frac{1}{729}=3^{-6} \rightarrow n=12+1=13$",,89,12,13,14,15,,,,,2,,
$11^{3}+12^{3}+13^{3}+\cdots+20^{3}$ is,,moderate,"Don't use any formula for simplification just take last number and use last number of their cube, for 11,12 and $13,1^{3}=1,2^{3}=8,3^{3}=27$ take 1,8 and 7 and add them, it's
45. So the number will be odd and divisible by 5",,89,An odd integer divisible by 5,An even integer,Multiple of 10,odd integer,,,,,1,,
"The quadratic equation in x such the arithmetic mean of its roots is 4 and its geometric mean is 9, is",,moderate,"$S=2 * A M=8,$ and $P=G M^{2}=81$
$x^{2}-8 x+81=0$",,89,$x^{2}-8 x+81=0$,$x^{2}+8 x-81=0$,$x^{2}+81 x+8=0$,$x^{2}+81 x-8=0$,,,,,1,,
Three numbers form a G.P. If we double the middle number we get an A.P the common ratio of the G.P is __________,,moderate,"let the number in GP are $\frac{1}{r}, 1, r,$ so AP should be $\frac{1}{2 \pm \sqrt{3}}, 2,2 \pm \sqrt{3}$
\[
\begin{array}{c}
d=2 \pm \sqrt{3}-2=\pm \sqrt{3} \\
2 \mp \sqrt{3}=\frac{1}{2 \pm \sqrt{3}}
\end{array}
\]
Law of irrational Conjugates",,89,$2 \sqrt{3}$,$2+\sqrt{3}$,$2-\sqrt{3}$,Both b and $c$,,,,,4,,
If pth term of an A.P is $\frac{3 P-1}{6}$ then the sum of first n-terms of the A.P is,,moderate,"$a_{1}=\frac{1}{3}, S_{n}=\frac{n}{2}\left(a_{1}+a_{n}\right)=\frac{n}{2}\left(\frac{1}{3}+\frac{3 n-1}{6}\right)=\frac{n}{2}\left(\frac{3 n+1}{6}\right)=\frac{n(3 n+1)}{12}$",,89,$\frac{n(3 n+1)}{12}$,$\frac{n(n+1)}{2}$,$\frac{n(n+3)}{4}$,$\frac{3 n(n+1)}{4}$,,,,,1,,
The sum of 15 terms of an A.P is 600 their common difference is 5 then $a_1$ = ? ,,moderate,$S_{n}=600=\frac{15}{2}\left(2 a_{1}+14(5)\right) \rightarrow 2 a_{1}=80-70 \rightarrow a_{1}=5$,,89,8,5,3,1,,,,,2,,
The sum of three numbers in A.P is 15 and their product is 80 the largest number is __________,,easy,"let number are $a-d, a, a+d \quad$ Sum : $3 a+d-d=15$ $a=5,$ only 2,5,8 Are possible series",,89,2,5,8,11,,,,,3,,
The sum of integers from 1 to 100 that are divisible by 2 or 5 = ?,,moderate," divisible by 2 and 5 are $2,4,5,6,8,10,$ sum $=2+4+5+6+8+10=35$ Series is $35+95+155,+\ldots \ldots$ where $d=60, n=10 \quad S_{n}=5(70+9 * 60)=3050$",,89,3000,3020,3050,3090,,,,,3,,
The ratio of sum of first 3 terms of a G.P to the sum of first 6 terms is 125 : 152 then r = ?,,moderate,$S_{n}=\frac{a\left(1-r^{n}\right)}{1-r} \rightarrow \frac{125}{152}=\frac{1-r^{3}}{1-r^{6}}=\frac{1}{1+r^{3}} \rightarrow r^{3}=\frac{152}{125}-1=\frac{27}{125} \rightarrow r=\frac{3}{5}$,,89,$\frac{5}{3}$,$\frac{3}{5}$,$\frac{1}{5}$,$\frac{1}{3}$,,,,,2,,
If $0 . \overline{125}=\frac{p}{q}$ then $p+q=?$,,easy,"By basic rule of vulgar fraction; $0 . \overline{125}=\frac{125}{999},$ so $, 125+999=1124$",,89,125,$\frac{125}{999}$,1124,9925,,,,,3,,
The value of $0.4 \overline{23}=?$,,moderate,"By basic rule of vulgar fractions $0 . \overline{a b c \ldots n}$, the fraction is $\frac{a b c \ldots n}{10^{n}-1},$ where $n$ are total numbers after decimal and ""a, b, c"" represents the numbers",,89,$\frac{423}{999}$,$\frac{419}{990}$,$\frac{416}{999}$,None of these,,,,,1,,
The sum of three numbers in G.P is 19 and their product is 216 then r = ? ,,moderate,"Use $\frac{a}{r} * a * a r=a^{3}=216 \rightarrow a=6,$ Now reverse it; $\frac{6}{1.5}+6+6 * 1.5=19$",,89,1.5,0.5,1.25,2.25,,,,,1,,
The sum of first 6 – terms of a G.P is 9 times the sum of first 3 terms then r = ?,,moderate,$S_{n}=\frac{a\left(1-r^{n}\right)}{1-r} \rightarrow 9=\frac{1-l-r^{6}}{1-r^{3}}=1+r^{3} \rightarrow r^{3}=9-1=8 \rightarrow r=2$,,89,0,1,-1,2,,,,,4,,
0 !=?,,easy,The Property of Factorials: $0 !=1$,,90,0,1,2,$\infty$,,,,,2,,
$4! + 0! =$,,easy,$4!+0!=24+1=25$,,90,24,20,25,23,,,,,3,,
$\frac{(n+3) !}{(n+1) !}=?$,,easy,$\frac{(n+3)(n+2)(n+1) !}{(n+1) !}$,,90,$(n+2)(n+1)$,$(n+3)(n+2)$,$(n+3)(n+2)(n+1)$,$(n+1) !$,,,,,2,,
$^{n} \mathrm{P}_{\mathrm{r}}=?$,,easy,Theoretical Formula,,90,$\frac{n !}{(n+r) !}$,$\frac{n}{n-r}$,$\frac{n !}{(n+1) !}$,$\frac{n !}{(n-r) !}$,,,,,4,,
$^7 P_{7}=?$,,easy,$7 P_{7}=7 !=7.6 .5 .4 .3 .2=5040$,,90,720,360,5040,120,,,,,3,,
$^{15} P_{5}=?$,,moderate,"$\frac{151}{(15-5) !}=\frac{151413,121110 !}{10 !}=360360$",,90,243058,342040,360360,542002,,,,,3,,
How many signals can be given with three different flags when any number of them may be used?,,easy,$3 P_{3}+3 P_{2}+3 P_{1}=6+6+3=15$,,90,12,15,17,19,,,,,2,,
In how many ways can four books of Urdu and three books of Islamiat be placed on a shelf so that the books on the same subject are always together?,,moderate,$2(4) !(3) !=2(24)(6)=288$,,90,288,32,144,270,,,,,1,,
$^{n} C_{r}=?$,,easy,Theoretical Formula,,90,$\frac{n}{r(n-r)}$,$\frac{n !}{(n-r) !}$,$\frac{n !}{r !(n-1) !}$,$\frac{n !}{r !(n-r) !}$,,,,,4,,
$^{4} C_{4}=?$,,easy,$4 C_{4}=\frac{4 !}{(4-4) ! \times 4 !}=1$,,90,24,120,1,0,,,,,3,,
"How many even numbers of four-digit number can be formed from the digits 1, 2, 3, 4, 5, if repetition is permitted?",,moderate,"Principle of counting, with repetition every digit can be written on each place and for even, it should end at either 2 or 4 5 5 5 2=250",,90,24,40,250,124,,,,,3,,
$^{17} C_{10}+^{17} C_{12}=?$,,easy,The combination property; $n C_{a}+n C_{a+1}=n+1 C_{a+1}$ does not apply.,,90,$^{17} C_{2}$,$^{16} C_{2}$,$^{16} C_{12}$,none,,,,,4,,
The number of diagonals of a 12 sided figure is:,,moderate,$12 C_{2}-12=\frac{121}{2 ! 10 !}-12=54$,,90,66,54,30,48,,,,,2,,
$^{n} C_{r}+^{n} C_{r-1}=?$,,easy,Important Formula,,90,$^{n} C_{r}$,$^{n-1} C_{r}$,$^{n+1} C_{r-1}$,$^{n+1} C_{r}$,,,,,4,,
The probability that a 3-digit number chosen at random divisible by 5 is,,easy,"Number divisible by 5 are 180 starting from 100,2 in each $10,$ so, $2 * 90=180,$ total 3 -digit numbers are $900 .$ Probability $\frac{180}{900}=\frac{1}{5}$",,90,$\frac{1}{3}$,$\frac{1}{5}$,$\frac{1}{7}$,$\frac{1}{10}$,,,,,2,,
If $A$ and $B$ are disjoint then $P(A \cup B)=?$,,easy,"Important property like sets $n(A \cup B)=n(A)+n(B)-n(A \cap B)$
\[
\text { So, } n(A \cap B)=0 \quad P(A \cup B)=P(A)+P(B)
\]",,90,$P(A)+P(B)-P(A \cap B)$,$P(A) \cdot P(B)$,$1-P(E)$,$P(A)+P(B)$,,,,,4,,
If a probability of a bulb being defective is 0.2. Estimate how many defective bulbs there would be in 600 bulbs.,,easy,$0.2\times600=120$,,90,30,120,50,60,,,,,2,,
If $A \& B$ are mutually exclusive events then $P(A \cup B)=?$,,easy,"Important property like sets $n(A \cup B)=n(A)+n(B)-n(A \cap B)$
\[
\text { So, } n(A \cap B)=0 \quad P(A \cup B)=P(A)+P(B)
\]",,90,$P(A)+P(B)$,$P(A)+P(B)-P(A \cap B)$,$P(A)+P(B)-P(A U B)$,$P(A)+P(B)+P(A U B)$,,,,,2,,
"The probability of getting 5, when one die is rolled is ",,easy,"Sample: $S=6,$ Event: $E=1, P=\frac{E}{S}$",,90,$\frac{1}{2}$,$\frac{1}{3}$,$\frac{1}{5}$,$\frac{1}{6}$,,,,,4,,
$P(B)=\frac{7}{12}$ then $P(\bar{B})=?$,,easy,"$P(B)+P(\bar{B})=1$
$P(\bar{B})=1-P(B)=1-\frac{7}{12}=\frac{5}{12}$",,90,$\frac{1}{12}$,$\frac{5}{12}$,$\frac{8}{7}$,$\frac{7}{5}$,,,,,2,,
If $A \& B$ are independent events then $P(A \cap B)$ is,,moderate,"for independent events to occur simultaneously, the probability is product of both. Important Point",,90,$P(A)+P(B)$,$P\left(\frac{A}{B}\right)$,$P(A) \cdot P(B)$,$P(A)-P(B)$,,,,,3,,
Factorial of –9 =?,,easy,the factorial of negative numbers cannot be calculated,,90,-362880,362880,40320,cannot be calculated,,,,,4,,
If A is an impossible event then PA =?,,easy,Law of Possibility,,90,1,-1,0,$\infty$,,,,,3,,
"Two people are selected at random, from the group of 10 people in which $60\%$ have blue eyes. The probability that none of them will have blue eyes?",,moderate,"for first there are 4 by 10 , for second there are 3 by $9,$ so $\frac{4}{10} * \frac{3}{9}=.133$",,90,0.11,0.6,0.13,0.2,,,,,3,,
$\frac{19 !}{19 !(19-19) !}=?$,,easy,Simple solution and 0!=1,,90,0,1,Undefined,19,,,,,2,,
52=?,,easy,multiply and divide the factorial of very next number,,90,$\frac{52 !}{51 !}$,$\frac{52 !}{53 !}$,$52.51 !$,$\frac{51 !}{52 !}$,,,,,1,,
The factorial form of $(n+2)(n+1) n$ is,,easy,$\frac{(n+2)(n+1) n(n-1) !}{(n-1) !}=\frac{(n+2) !}{(n-1) !}$,,90,$(n+2) !$,$\frac{(n+2) !}{(n+1) !}$,$\frac{(n+2) !}{(n-1) !}$,$\frac{(n+2) !}{n !}$,,,,,3,,
In how many ways can 7 keys be arranged in a circular key ring?,,moderate,$\frac{1}{2}(n-1) !=\frac{1}{2}(6) !=360$,,90,5040,720,360,1440,,,,,3,,
If $^{n} C_{11}=^{n} C_{9}$ then $n=?$,,easy,"Important Relation: $n C_{a}=n C_{b}$ iff $n=a+b \quad$ So, $n=11+9=20$",,90,11,9,10,20,,,,,4,,
Two dice are thrown simultaneously find the probability that the sum of the dots of the dice is a prime no?,,moderate,"Prime numbers will be $2,3,5,7,11 . P(\text { prime })=\frac{1+2+4+6+2}{36}=\frac{15}{36}=\frac{5}{12}$",,90,$\frac{4}{9}$,$\frac{5}{9}$,$\frac{5}{12}$,$\frac{7}{36}$,,,,,3,,
If $n\left(E_{1}\right)=18$ and $n\left(E_{2}\right)=6$ and $n(S)=36$ also $E_{1}$ and $E_{2}$ are independent then $P\left(E_{1} \cap E_{2}\right)=?$,,easy,"$\quad P\left(E_{1}\right)=\frac{18}{36}=\frac{1}{2}, P\left(E_{2}\right)=\frac{6}{36}=\frac{1}{6}, \quad$ for $\quad$ independent $\quad$ events
$P\left(E_{1} \cap E_{2}\right)=P\left(E_{1}\right) \cdot P\left(E_{2}\right)$",,90,0,$\frac{22}{36}$,$\frac{1}{12}$,$\frac{1}{36}$,,,,,3,,
Three dice are thrown simultaneously find the probability to get greatest sum of dots?,,moderate,"Sample size is $6^{3}=216,$ the greatest sum $(6,6,6)=18$ and lowest sum $(1,1,1)=3$ can occur only once.",,90,$\frac{18}{216}$,$\frac{1}{108}$,$\frac{1}{36}$,$\frac{1}{216}$,,,,,4,,
"A number is selected at random from the three digit numbers, the probability that the number is divisible by 4 is",,easy,Every $4^{th}$ number is divisible by 4. No need to solve,,90,$\frac{1}{2}$,$\frac{1}{4}$,$\frac{1}{16}$,$\frac{1}{8}$,,,,,2,,
What is the probability to get a black jack from a well shuffled pack of playing cards?,,easy,$P=\frac{16}{52} * \frac{8}{51}=\frac{4}{13} * \frac{8}{51}=\frac{32}{663} \approx \frac{1}{26}$,,90,$\frac{1}{13}$,$\frac{2}{13}$,$\frac{3}{13}$,$\frac{1}{26}$,,,,,4,,
"If $\left(\begin{array}{l}n \\ 5\end{array}\right)=\left(\begin{array}{l}n \\ 7\end{array}\right)$, then $n=?$",,easy,"Combination Property:
\[
(n a)=(n b) \text { iff } n=a+b=5+7=12
\]",,90,12,5,7,0,,,,,1,,
"If $^{n} P_{6}=3 .^{n} P_{5}$, then $n=?$",,moderate,\frac{n !}{(n-6) !}=\frac{3 n !}{(n-5) !} \rightarrow 3=\frac{(n-5)(n-8) !}{(n-6) !} \rightarrow n=5+3=8,,90,8,7,9,10,,,,,1,,
There are 10 bulbs in a hall. Each one of them can be switched on independently. In how many ways the hall can be illuminated?,,moderate,"there are 2 possibilities of each bulb, 'on' and 'off' $N=2^{10}-1,$ omitting
1 when every bulb is off",,90,$10^{2}$,$2^{10}$,1023,10!,,,,,2,,
$\left(\begin{array}{l}13 \\ 9\end{array}\right)-\left(\begin{array}{l}12 \\ 8\end{array}\right)=?$,,easy,The combination property; $n C_{a}+n C_{a+1}=n+1 C_{a+1}$,,90,$^{12} C_{7}$,$^{13} C_{7}$,$^{12} C_{9}$,$^{13} C_{8}$,,,,,3,,
There are 13-points in a plane no three of which are collinear expect 5. How many total lines can be drawn in the plane?,,moderate,"for 13 points lines will be $13 C_{2}=78,5$ are collinear so they will make only 1 line instead of $5 C_{2}=10 .$ The required number is $78-10+1=69$",,90,78,68,79,69,,,,,4,,
"$\left(\begin{array}{l}15 \\ 3 x\end{array}\right)=\left(\begin{array}{l}15 \\ x+3\end{array}\right),$ then $x=?$",,moderate,"Using combination property, $3 x+x+3=15 \rightarrow x=3$",,90,3,4,5,9,,,,,1,,
If $^{n} C_{r}+^{n} C_{r+1}=^{n+1} C_{x}$ then $x=?$,,moderate,Property of combination: $n C_{a}+n C_{a+1}=n+1 C_{a+1}$,,90,4,r-1,$r+1$,n,,,,,3,,
Number of the arrangements of the letters of the word “EAMCET” so that no two vowels are together is __________,,moderate,principle of counting: 4 3 3 2 1 1 the letter ‘A’ can be arranged on four places,,90,360,144,72,54,,,,,3,,
How many 10-digit numbers can be written by using the digits 1 and 2?,,moderate,$^{n} C_{0}+^{n} C_{1}+^{n} C_{2}+\ldots \ldots \ldots . .+^{n} C_{n}=2^{n}$,,90,$^{10} C_{1}+^{9} C_{2}$,$2^{10}$,$^{10} C_{2}$,$10 !$,,,,,2,,
"A cricket team of 11 players is to be selected from 13 players 4 of which are bowlers and 2 are wicket keepers, team consisting one wicket keeper and at least 3 bowlers is __________",,difficult,"choosing bowler are either 3 or $4,$ one keeper out of $2,$ and 6 or 7 from rest of 7 players, total number of possibilities are, $3 \mathrm{B}, 1 \mathrm{K}, 7 \mathrm{P}$ or $4 \mathrm{B}, 1 \mathrm{K}, 6 \mathrm{P}$
\[
4 C_{3} 2 C_{1} 7 C_{7}+4 C_{4} 2 C_{1} 7 C_{6}=4 * 2 * 1+1 * 2 * 7=22
\]",,90,8,22,112,220,,,,,2,,
The number of 5-digits telephone numbers having at least one of their digit repeated is __________,,easy,principle of counting; 10 10 9 8 7=69760,,90,"90,000","10,000",30240,69760,,,,,4,,
The number of ways in which 5 identical rings can be worn on the four fingers of a hand = ?,,moderate,$4^{5}=1024$,,90,256,512,1024,2048,,,,,3,,
The number of ways of arranging 21 white balls and 3 black balls in a row so that no two black balls are placed together?,,moderate,"the black ball will be considered 1 for total counting so $n=21+1=22$ and 3 for combination point, the number of ways will be $22 C_{3}=1540$",,90,1440,1540,1640,1740,,,,,2,,
"A box contains 2 white, 3black and 4 red balls. The number of ways in which 3 balls be drawn from the box if at least one black ball is to be included in each draw is _________",,moderate,3 black and 6 non-black balls. 3C1*6C2+3C2*6C1+3C3*6C0=45+18+1=64,,90,32,48,64,96,,,,,3,,
If $^{n+2} C_{8}:^{n-2} P_{4}=57: 16$ then $n=?$,,moderate,"$\frac{(n+2) !}{8 !(n-6) !} / \frac{(n-2) !}{(n-6) !}=(n+2)\left((n+1) n(n-1)=\frac{57 * 8 * 7 * 6 * 5 * 4 * 3 * 2}{16}\right.$
$=19 * 7 * 6 * 5 * 4 * 3 * 3=(7 * 3)(5 * 4) 19(6 * 3)=21.20 .19 .18$
$n=19$",,90,19,21,23,27,,,,,1,,
The number of rectangles that you can find on a chess board = ?,,moderate,"9 vertical and 9 horizontal points from which lines to be drawn, so
\[
9 C_{2} * 9 C_{2}=36 * 36=1296
\]",,90,1196,1096,1296,1000,,,,,3,,
The no of terms in the expansion of $(a-b)^{17}$ is,,easy,total number of terms in $(a+b)^{n}$ are $n+1$,,91,2,17,18,20,,,,,3,,
The middle term in the expansion of $(x+y)^{30}$ is,,easy,"For even index, middle term is $\frac{u+2}{2}=\frac{30+2}{2}=\frac{32}{2}=16$",,91,$13^{th}$,$14^{th}$,$15^{th}$,$16^{th}$,,,,,4,,
The binomial coefficient of 21 st term in the expansion of $(a+b)^{23}$ is,,moderate,"for $r=20,$ the term will be $21^{\text {st }}$
\[
n C_{r}=23 C_{20}=\frac{23 * 22 * 21 * 20 !}{20 ! *(3 * 2)}=23 * 11 * 7=1771
\]",,91,1771,2891,3421,1563,,,,,1,,
The sum of coefficients in the expansion of $(1+x)^{7}$ is,,easy,Sum of coefficient for $(1+x)^{n}=2^{n} \rightarrow 2^{\prime}=128$,,91,64,32,100,128,,,,,1,,
Sum of even coefficients is equal to $\ldots \ldots \ldots \ldots . .$ in the binomial expansion of $(1+x)^{n}$ where,,easy,"Basic property of expansions like $(1+x)^{n}$, sum of even coefficient $=$ sum of odd coefficients $=2^{n-1}$",,91,2n,2n-1,$2^{n-1}$,$2^n$,,,,,3,,
If $^{\prime} x^{\prime}$ be so small that it's square and higher powers can be neglected then $\frac{(1+x)^{2}}{(1+2 x)^{3}}=?$,,moderate,"Sol: $\quad \frac{1+2 x+x^{2}}{1+6 x+12 x^{2}+8 x^{3}}=\frac{1+2 x}{1+6 x}$ neglecting higher powers
\[
(1+2 x)(1+6 x)^{-1}=(1+2 x)(1+(-1) 6 x+\ldots)=1+2 x-6 x-12 x^{2}=1-4 x
\]",,91,$1+8x$,$1-4x$,$2+7x$,$1+4x$,,,,,2,,
The general term of $\left(\frac{a}{2}-\frac{2}{a}\right)^{6}=?$,,easy,"General term is $T_{r+1}=(n r) a^{n-r} b^{r}=(6 r)\left(\frac{a}{2}\right)^{6-r}\left(-\frac{2}{a}\right)^{r}=(-1)^{r}(6 r)\left(\frac{a}{2}\right)^{6-2 r}$
Key Point: The second term is negative, so there will be a negative sign in alternative values, so option (a) is only valid choice",,91,$(-1)^{r}\left(\begin{array}{l}6 \\ r\end{array}\right)\left(\frac{a}{2}\right)^{6-2 r}$,$\left(\begin{array}{l}6 \\ r\end{array}\right)\left(\frac{a}{2}\right)^{6-2 r}$,$2^{r}\left(\begin{array}{l}6 \\ r\end{array}\right)\left(\frac{a}{2}\right)^{6-2 r}$,(-1)$\left(\begin{array}{l}6 \\ r\end{array}\right)\left(\frac{a}{2}\right)^{6-2 r}$,,,,,1,,
The $6^{\text {th }}$ term from the end in the expansion of $\left(\frac{3}{2} x-\frac{1}{3 x}\right)^{11}$ is,,moderate,"total terms ion expansion are $n+1=12,$ so $6^{\text {th }}$ term from last will be $7^{\text {th }}$ term from start, for
\[
\begin{array}{c}
r=6, T_{6+1}=(116)\left(\frac{3}{2} x\right)^{11-6}\left(\frac{1}{3 x}\right)^{6}=\frac{11 * 10 * 9 * 8 * 7 * 6 !}{6 ! * 5 * 4 * 3 * 2}=\left(\frac{3}{2} x\right)^{5}\left(\frac{1}{3 x}\right)^{6} \\
=\frac{11 * 2 * 3 * 7}{3 * 2^{5} x}=\frac{77}{16 x}
\end{array}
\]",,91,16x,77x,$\frac{16}{77} x$,$\frac{77}{16 x}$,,,,,4,,
$\left(\begin{array}{l}n \\ 1\end{array}\right)+2\left(\begin{array}{l}n \\ 2\end{array}\right)+3\left(\begin{array}{l}n \\ 3\end{array}\right)+\cdots+n\left(\begin{array}{l}n \\ n\end{array}\right)=?$,,easy,Important key point,,91,$2^{n-1}$,$2.2^{n-1}$,$n .2^{n-1}$,None,,,,,3,,
"In the expansion of $(a+b)^{16},$ in $11^{\text {th }}$ term the sum of the exponents of 'a' and b is:",,easy,Sum of exponents of any term in a binomial expansion is equal to its index (n).,,91,15,7,1,16,,,,,4,,
The number of terms in the expansion of $(a+b)^{n}$ where $n \in Z^{+}$ is,,easy,Theoretical Formula,,91,$n-1$,n,$n+1$,none,,,,,3,,
The general term in the expansion of $(a+b)^{n}$ is denoted by $T_{r+1}$ so $T_{r+1}=?$,,easy,General term is $T_{r+1}=(n r) a^{n-r} b^{r}$,,91,$\left(\begin{array}{l}n \\ r\end{array}\right) a^{n-r} b^{r}$,$\left(\begin{array}{l}n \\ r\end{array}\right) a^{n} b^{r}$,$\left(\begin{array}{l}n \\ r\end{array}\right) a^{r} b^{n}$,none,,,,,1,,
The index in $(a-b)^{17}$ is,,easy,"the exponent of binomial expression is the index.",,91,18,17,a,b,,,,,2,,
Sum of odd coefficients in the binomial expansion of $(a+b)^{n}$ where $n \in Z^{+}$ is equal to,,easy,Theoretical Point. The sum of odd coefficient=sum of even coefficient $=2^{n-1}$,,91,2n,2(n-1),$2^{n-1}$,$2^n$,,,,,3,,
The $3^{\text {rd }}$ term in the expansion of $\left(1+\frac{6}{x}\right)^{\frac{1}{3}}=?$,,easy,"Don't solve, the $3^{\text {rd }}$ term will have $x^{2}$ in denominator, only (a) is Valid",,91,$-\frac{4}{x^{2}}$,$-\frac{27}{1024 x}$,-1024,27,,,,,1,,
The value of $(8.2)^{1 / 3}$ correct to 3 decimal places is,,easy,"Don't solve, only option (a) and (d) are in 3 decimal places, and (a) is too small.
\[
\begin{aligned}
\mathrm{OR} &(8+0.2)^{\frac{1}{3}}=8^{\frac{1}{3}}+\frac{1}{3}(8)^{-\frac{2}{3}} * 0.2+\frac{\frac{1}{3}\left(-\frac{2}{3}\right)}{2}(8)^{-\frac{5}{3}}(0.2)^{2}+\ldots \\
&(8.2)^{\frac{1}{3}}=2+0.01666-0.00018 \ldots+2.016
\end{aligned}
\]",,91,2,2.0021,2.00156,2.016,,,,,4,,
"If $^{\prime} x^{\prime}$ be so small that it's square and higher powers may be neglected then
\[
\frac{(1-x)^{\frac{1}{2}}(9-4 x)^{\frac{1}{2}}}{(8+3 x)^{\frac{1}{3}}}=?
\]",,difficult,"General Formula for negative or fraction index is: $(1+x)^{n}=1+n x+\frac{n(n-1)}{2 !} x^{2}$
\[
\begin{array}{l}
\left(1+\left(\frac{1}{2}\right)(-x)+\ldots\right)\left(9^{\frac{1}{2}}+\frac{1}{2}(9)^{\frac{1}{2}-1}(-4 x)+\ldots\right)\left(8^{-\frac{1}{3}}+\left(\frac{1}{3}\right)(8)^{-\frac{1}{3}-1}(3 x)+\ldots\right) \\
\quad=\left(1-\frac{1}{2} x\right)\left(3-\frac{2}{3} x\right)\left(\frac{1}{2}-\frac{1}{16} x\right)=\frac{3}{2}-\left(\frac{1}{2}+\frac{2}{3}+\frac{1}{16}\right) x=\frac{3}{2}-\frac{61}{48} x
\end{array}
\]",,91,$\frac{3}{2}-\frac{48 x}{61}$,$\frac{3}{2}-\frac{61 x}{48}$,$\frac{2}{3}-\frac{61 x}{48}$,$\frac{1}{2}-\frac{x}{48}$,,,,,2,,
